cancerPrimary.lung.squamous.cell.carcinoma,cancerPulmonary.metastasis.of.head.and.neck.squamous.cell.carcinoma,cancerSecond.squamous.cell.carcinoma.of.the.lung,age,cancerPrimary.lung.squamous.cell.carcinoma.age,cancerPulmonary.metastasis.of.head.and.neck.squamous.cell.carcinoma.age,cancerSecond.squamous.cell.carcinoma.of.the.lung.age,AveExpr,F,P.Value,adj.P.Val,probeID,CpG_chrm,gene,gene_HGNC
-13.602332872102906,-14.489035397921313,-13.769817524743008,-0.17209455460130346,0.16768769418574495,0.176475274373763,0.16775618705105405,-6.353822257046727,20.9919227612293,1.3159212233130177e-12,1.139402234496586e-6,185130,NA,NA,NA
-0.4879631920838466,-1.9910764224441169,-1.370631420940771,0.025376139022581814,-0.038779239202162655,-0.022921866320692163,-0.030404701287265613,-5.295645415661392,16.611981104273767,6.840872561498524e-11,2.7355942521849428e-5,861141,NA,NA,NA
-15.28257588781083,-16.228166031941573,-15.678442232734053,-0.20110355454541007,0.19635375355395326,0.20285255207167474,0.19832012529503326,-6.3524442074049805,16.08487399694652,1.1527280589303018e-10,2.7355942521849428e-5,430470,NA,NA,NA
2.712149164876759,-5.763245936356232,-3.8058263605482825,-0.02012401193589201,-0.0635855746003204,0.027522708203163878,0.0029260101694374516,-5.005268492656766,15.99314076259789,1.2637596893651011e-10,2.7355942521849428e-5,818970,NA,NA,NA
2.4133217745682756,-3.186809019982843,-1.5076010297997677,0.026743978415938372,-0.07483478867212845,-0.02357019289572841,-0.043876414866601814,-5.871424283276247,15.253403833165672,2.687395598875094e-10,4.169027767197168e-5,264675,NA,NA,NA
5.992024095128036,1.445105545880463,2.220767466028061,0.08321081447568228,-0.1184276823362851,-0.085475440833816,-0.09215716187949693,-5.9712176514300594,15.090422870830178,3.1834821396480694e-10,4.169027767197168e-5,300287,NA,NA,NA
0.5464030213231529,-2.20960499247861,-2.105361035748694,0.011952511892401966,-0.04208159175593986,-0.009855613960559974,-0.008700662130050399,-5.692705724876642,15.035773999820469,3.370432642079158e-10,4.169027767197168e-5,97641,NA,NA,NA
3.53567293288545,3.921798221294267,4.631738385920725,0.11810667076895662,-0.08934192601340832,-0.12576607774310564,-0.1314168974842791,-5.7722431973302495,14.790108838669802,4.363278525330911e-10,4.722479975830621e-5,699890,NA,NA,NA
1.751315666222157,0.07088252693950788,-0.4451443867677468,0.03124610099364908,-0.05606836669054108,-0.045247327513051355,-0.03293178937900669,-4.045145768256638,14.491449538959483,5.994280132628645e-10,5.766890445953007e-5,240548,NA,NA,NA
-0.2860075911655715,-3.9451257790285137,-2.5801541533116144,0.007610076822397748,-0.03187970855475146,-0.002045423637931465,-0.01850055527060486,-5.815007540296096,14.359698414663047,6.904830250409435e-10,5.7926725645142174e-5,569248,NA,NA,NA
